z	 POPzt	 POCzt	 DOPzt	 DOCzt	 O2zt	 NO3zt	 NH4zt	 NH3zt	 FeOH3zt	 FeOOHzt	 Fe2zt	 SO4zt	 H2Szt	 HSzt	 PO4zt	 PO4adsazt	 PO4adsbzt	 S0zt	 S8zt	 FeSzt	 FeS2zt	 AlOH3zt	 Ca2zt	 Ca3PO42zt	 OMSzt	 Hzt	 CaCO3zt	 CO2zt	 CO3zt	 HCO3zt	 H2CO3zt	 Chlzt	 CH4aq	 CH4g	 FeCO3	 Fe3PO42	 PO4adsc
23.1	369.314	39476	0.00031649	0.00039233	2.49E-129	2.85E-130	0.20244	1.14E-10	0.0047373	3.20E-05	7.3691	0.061127	3.70E-05	2.11E-08	0.028319	10.329	0.00034843	0.0023009	661.52	0.34882	0.030651	3.51E-07	0.36013	129.3205128	6.294	4.58E-05	234.75	0.79623	0.0031834	5.2532	6.4327e-321	0.6595	3.68E-10	1.1205e-320	0.15505	629.226	450.18
23.2	369.292	39489	0.00031649	0.00039239	6.91E-130	7.81E-131	0.20244	1.14E-10	0.0045899	3.16E-05	7.3711	0.061402	3.70E-05	2.12E-08	0.028074	10.103	0.00034228	0.0023012	661.6	0.35006	0.030732	3.41E-07	0.36085	129.2179487	6.294	4.58E-05	233.61	0.79625	0.0031861	5.2557	6.4476e-321	0.65991	3.69E-10	1.124e-320	0.15541	629.72	450.18
23.3	369.259	39502	0.00031649	0.00039245	1.92E-130	2.14E-131	0.20245	1.14E-10	0.004448	3.11E-05	7.373	0.061677	3.70E-05	2.13E-08	0.02784	9.8833	0.00033625	0.0023015	661.67	0.35129	0.030811	3.31E-07	0.36155	129.1153846	6.294	4.57E-05	232.5	0.79627	0.0031888	5.2581	6.4624e-321	0.66031	3.70E-10	1.127e-320	0.15577	630.201	450.18
23.4	369.237	39514	0.00031649	0.0003925	5.34E-131	5.86E-132	0.20246	1.14E-10	0.0043113	3.07E-05	7.3749	0.061952	3.69E-05	2.14E-08	0.027617	9.6689	0.00033035	0.0023017	661.75	0.3525	0.03089	3.22E-07	0.36224	129.0128205	6.294	4.57E-05	231.4	0.79629	0.0031914	5.2604	6.4772e-321	0.66071	3.71E-10	1.1294e-320	0.15612	630.669	450.18
23.5	369.215	39527	0.00031649	0.00039255	1.48E-131	1.61E-132	0.20247	1.14E-10	0.0041796	3.02E-05	7.3769	0.062227	3.69E-05	2.15E-08	0.027406	9.4599	0.00032459	0.002302	661.82	0.3537	0.030967	3.13E-07	0.36292	128.9166667	6.294	4.57E-05	230.31	0.79633	0.0031939	5.2627	6.4821e-321	0.66111	3.72E-10	1.1329e-320	0.15647	631.137	450.18
23.6	369.182	39539	0.00031649	0.0003926	4.13E-132	4.40E-133	0.20247	1.14E-10	0.0040526	2.98E-05	7.3787	0.062503	3.69E-05	2.16E-08	0.027206	9.256	0.00031894	0.0023022	661.89	0.35488	0.031044	3.04E-07	0.36358	128.8205128	6.294	4.57E-05	229.25	0.79637	0.0031963	5.2649	6.492e-321	0.66149	3.73E-10	1.1364e-320	0.15681	631.579	450.18
23.7	369.16	39551	0.00031649	0.00039265	1.15E-132	1.21E-133	0.20248	1.14E-10	0.0039301	2.94E-05	7.3806	0.062778	3.68E-05	2.17E-08	0.027018	9.0574	0.00031342	0.0023024	661.96	0.35604	0.031119	2.96E-07	0.36423	128.724359	6.294	4.57E-05	228.19	0.79642	0.0031985	5.267	6.5019e-321	0.66188	3.74E-10	1.1398e-320	0.15715	632.034	450.18
23.8	369.138	39563	0.00031649	0.00039269	3.19E-133	3.30E-134	0.20249	1.14E-10	0.0038119	2.89E-05	7.3825	0.063053	3.68E-05	2.18E-08	0.026842	8.8637	0.00030803	0.0023027	662.03	0.35719	0.031194	2.88E-07	0.36486	128.6282051	6.294	4.56E-05	227.16	0.79648	0.0032007	5.2691	6.5167e-321	0.66225	3.75E-10	1.1428e-320	0.15748	632.463	450.18
23.9	369.105	39575	0.00031649	0.00039273	8.86E-134	9.05E-135	0.20249	1.14E-10	0.0036978	2.85E-05	7.3843	0.063329	3.68E-05	2.19E-08	0.026678	8.675	0.00030275	0.0023029	662.09	0.35833	0.031267	2.80E-07	0.36548	128.5320513	6.294	4.56E-05	226.14	0.79655	0.0032028	5.2712	6.5315e-321	0.66263	3.76E-10	1.1452e-320	0.15781	632.892	450.18
24	369.083	39586	0.00031648	0.00039277	2.46E-134	2.48E-135	0.2025	1.14E-10	0.0035876	2.80E-05	7.3861	0.063605	3.67E-05	2.20E-08	0.026527	8.4911	0.00029759	0.0023031	662.16	0.35945	0.031339	2.72E-07	0.36608	128.4423077	6.294	4.56E-05	225.13	0.79662	0.0032048	5.2732	6.5464e-321	0.66299	3.76E-10	1.1487e-320	0.15814	633.308	450.18
