z	 POPzt	 POCzt	 DOPzt	 DOCzt	 O2zt	 NO3zt	 NH4zt	 NH3zt	 FeOH3zt	 FeOOHzt	 Fe2zt	 SO4zt	 H2Szt	 HSzt	 PO4zt	 PO4adsazt	 PO4adsbzt	 S0zt	 S8zt	 FeSzt	 FeS2zt	 AlOH3zt	 Ca2zt	 Ca3PO42zt	 OMSzt	 Hzt	 CaCO3zt	 CO2zt	 CO3zt	 HCO3zt	 H2CO3zt	 Chlzt	 CH4aq	 CH4g	 FeCO3	 Fe3PO42	 PO4adsc
15.6	298.97	9417.5	0.00024809	0.00026073	2.3412e-87	7.4493e-88	0.25776	1.4485e-10	275.67	12.757	0.76919	0.034886	1.235e-08	5.7901e-11	0.0024559	173.94	88.058	0.0011461	329.49	0.00010963	0.089539	0.87517	0.3179	117.01	5.8149	1e-05	294.34	0.073698	0.0060842	2.2305	5.1235e-321	0.37609	1.3939e-12	8.2855e-321	1632.6	98.987	35.979
15.7	299.04	9417.4	0.00024819	0.00026089	6.5074e-88	2.0408e-88	0.25787	1.4491e-10	272.06	12.757	0.7688	0.035152	1.2764e-08	5.9001e-11	0.0024568	172.51	88.058	0.0011463	329.57	0.00011077	0.090125	0.8748	0.31776	117.54	5.8149	1e-05	292.57	0.073613	0.0060777	2.2279	5.1432e-321	0.37621	1.4149e-12	8.3349e-321	1636.4	99.436	36.178
15.8	299.12	9417.3	0.00024829	0.00026104	1.8088e-88	5.591e-89	0.25797	1.4497e-10	268.51	12.757	0.76842	0.035418	1.3192e-08	6.0118e-11	0.0024576	171.08	88.057	0.0011466	329.64	0.00011191	0.09071	0.87444	0.31762	118.06	5.8149	1e-05	290.81	0.073529	0.0060714	2.2253	5.163e-321	0.37632	1.436e-12	8.3843e-321	1640.1	99.881	36.377
15.9	299.2	9417.3	0.0002484	0.0002612	5.0275e-89	1.5317e-89	0.25808	1.4502e-10	265	12.756	0.76804	0.035684	1.3632e-08	6.1252e-11	0.0024584	169.67	88.056	0.0011468	329.71	0.00011305	0.091293	0.87407	0.31747	118.58	5.8149	1e-05	289.07	0.073447	0.0060651	2.2228	5.1827e-321	0.37644	1.4572e-12	8.4337e-321	1643.7	100.32	36.574
16	299.27	9417.2	0.0002485	0.00026137	1.3974e-89	4.1962e-90	0.25818	1.4508e-10	261.54	12.756	0.76767	0.03595	1.4086e-08	6.2403e-11	0.0024592	168.27	88.056	0.0011471	329.78	0.00011418	0.091873	0.87371	0.31731	119.1	5.8149	1e-05	287.34	0.073365	0.0060589	2.2202	5.2025e-321	0.37656	1.4784e-12	8.4831e-321	1647.3	100.76	36.771
16.1	299.35	9417.1	0.0002486	0.00026154	3.8842e-90	1.1496e-90	0.25828	1.4514e-10	258.13	12.756	0.7673	0.036217	1.4553e-08	6.3572e-11	0.00246	166.88	88.055	0.0011473	329.86	0.00011532	0.092452	0.87335	0.31715	119.62	5.8149	1e-05	285.63	0.073284	0.0060527	2.2178	5.2272e-321	0.37667	1.4997e-12	8.5325e-321	1650.9	101.2	36.967
16.2	299.42	9417	0.0002487	0.00026171	1.0796e-90	3.1494e-91	0.25838	1.4519e-10	254.76	12.756	0.76693	0.036484	1.5034e-08	6.476e-11	0.0024608	165.5	88.054	0.0011476	329.93	0.00011646	0.093028	0.873	0.31699	120.13	5.8149	1e-05	283.92	0.073204	0.0060466	2.2153	5.242e-321	0.37679	1.5211e-12	8.5819e-321	1654.4	101.63	37.162
16.3	299.5	9416.9	0.0002488	0.00026189	3.0009e-91	8.6281e-92	0.25847	1.4525e-10	251.44	12.756	0.76657	0.036751	1.553e-08	6.5965e-11	0.0024616	164.14	88.054	0.0011478	330	0.00011759	0.093602	0.87265	0.31682	120.63	5.8149	1e-05	282.24	0.073125	0.0060406	2.2129	5.2569e-321	0.37691	1.5424e-12	8.6214e-321	1657.8	102.05	37.356
16.4	299.57	9416.8	0.0002489	0.00026207	8.3412e-92	2.3638e-92	0.25856	1.453e-10	248.16	12.756	0.76621	0.037018	1.604e-08	6.7189e-11	0.0024623	162.79	88.053	0.0011481	330.07	0.00011873	0.094174	0.87229	0.31665	121.13	5.8149	1e-05	280.57	0.073047	0.0060347	2.2105	5.2766e-321	0.37702	1.5639e-12	8.6659e-321	1661.2	102.48	37.549
16.5	299.64	9416.7	0.000249	0.00026225	2.3185e-92	6.4757e-93	0.25865	1.4535e-10	244.93	12.755	0.76586	0.037285	1.6565e-08	6.8431e-11	0.0024631	161.44	88.052	0.0011483	330.14	0.00011986	0.094744	0.87194	0.31648	121.63	5.8149	1e-05	278.91	0.07297	0.0060288	2.2081	5.2964e-321	0.37714	1.5853e-12	8.7054e-321	1664.6	102.9	37.741
16.6	299.72	9416.6	0.0002491	0.00026244	6.4443e-93	1.7741e-93	0.25874	1.454e-10	241.75	12.755	0.76551	0.037553	1.7106e-08	6.9693e-11	0.0024638	160.11	88.051	0.0011485	330.21	0.00012099	0.095311	0.8716	0.3163	122.13	5.8149	1e-05	277.26	0.072893	0.006023	2.2057	5.3211e-321	0.37726	1.6068e-12	8.7499e-321	1667.9	103.32	37.932
16.7	299.79	9416.5	0.0002492	0.00026263	1.7912e-93	4.8602e-94	0.25883	1.4545e-10	238.61	12.755	0.76516	0.037821	1.7662e-08	7.0973e-11	0.0024645	158.79	88.051	0.0011488	330.28	0.00012212	0.095877	0.87125	0.31612	122.62	5.8149	1e-05	275.63	0.072818	0.0060173	2.2034	5.3458e-321	0.37737	1.6284e-12	8.7993e-321	1671.1	103.73	38.122
16.8	299.86	9416.4	0.0002493	0.00026282	4.9788e-94	1.3315e-94	0.25892	1.455e-10	235.51	12.755	0.76482	0.038089	1.8234e-08	7.2272e-11	0.0024652	157.49	88.05	0.001149	330.35	0.00012325	0.096439	0.87091	0.31593	123.11	5.8149	1e-05	274.01	0.072743	0.0060116	2.2011	5.3705e-321	0.37749	1.6499e-12	8.8388e-321	1674.3	104.14	38.312
