z	 POPzt	 POCzt	 DOPzt	 DOCzt	 O2zt	 NO3zt	 NH4zt	 NH3zt	 FeOH3zt	 FeOOHzt	 Fe2zt	 SO4zt	 H2Szt	 HSzt	 PO4zt	 PO4adsazt	 PO4adsbzt	 S0zt	 S8zt	 FeSzt	 FeS2zt	 AlOH3zt	 Ca2zt	 Ca3PO42zt	 OMSzt	 Hzt	 CaCO3zt	 CO2zt	 CO3zt	 HCO3zt	 H2CO3zt	 Chlzt	 CH4aq	 CH4g	 FeCO3	 Fe3PO42	 PO4adsc
22.4	340.55	10578	0.00030796	0.00036865	2.3438e-125	3.1326e-126	0.28136	1.5811e-10	34.281	18.713	1.6329	0.034463	1.9334e-07	2.2601e-10	0.0032904	54.34	77.071	0.0013679	393.27	0.067172	5.3116	0.095543	0.13737	3.2821e-320	5.815	3.1623e-05	9.2448	0.30017	0.0024881	2.867	6.3537e-321	1.0075	8.2207e-09	1.0998e-320	253.05	550.07	0.030106
22.5	340.47	10574	0.00030808	0.0003689	6.5146e-126	8.5821e-127	0.28135	1.5811e-10	33.725	18.702	1.6323	0.034629	1.9936e-07	2.3023e-10	0.0032907	53.704	77.064	0.0013681	393.32	0.06747	5.3275	0.095381	0.13749	3.2821e-320	5.815	3.1623e-05	9.1784	0.30019	0.0024884	2.8671	6.3685e-321	1.0074	8.2679e-09	1.1037e-320	253.03	551.22	0.030161
22.6	340.39	10571	0.00030821	0.00036914	1.8108e-126	2.3511e-127	0.28134	1.581e-10	33.181	18.692	1.6316	0.034794	2.0546e-07	2.345e-10	0.0032911	53.079	77.058	0.0013682	393.37	0.067765	5.3433	0.095221	0.13762	3.2821e-320	5.815	3.1623e-05	9.1132	0.3002	0.0024886	2.8672	6.3784e-321	1.0074	8.3146e-09	1.1067e-320	253.01	552.35	0.030215
22.7	340.32	10568	0.00030833	0.00036938	5.0331e-127	6.4411e-128	0.28134	1.581e-10	32.648	18.682	1.631	0.03496	2.1164e-07	2.3882e-10	0.0032914	52.465	77.051	0.0013684	393.41	0.068057	5.3588	0.095064	0.13775	3.2821e-320	5.815	3.1623e-05	9.0492	0.30021	0.0024888	2.8673	6.3932e-321	1.0073	8.3609e-09	1.1097e-320	252.98	553.47	0.030268
22.8	340.24	10565	0.00030845	0.00036961	1.399e-127	1.7646e-128	0.28133	1.5809e-10	32.126	18.671	1.6304	0.035126	2.1789e-07	2.432e-10	0.0032917	51.861	77.045	0.0013686	393.46	0.068346	5.3741	0.094908	0.13787	3.2821e-320	5.815	3.1623e-05	8.9863	0.30022	0.002489	2.8674	6.4031e-321	1.0073	8.4066e-09	1.1131e-320	252.95	554.57	0.03032
22.9	340.16	10562	0.00030856	0.00036984	3.8885e-128	4.8343e-129	0.28133	1.5809e-10	31.615	18.661	1.6297	0.035292	2.2422e-07	2.4764e-10	0.003292	51.267	77.039	0.0013687	393.51	0.068632	5.3893	0.094755	0.13799	3.2821e-320	5.815	3.1623e-05	8.9244	0.30023	0.0024893	2.8675	6.413e-321	1.0072	8.4519e-09	1.1166e-320	252.93	555.66	0.030372
23	340.09	10559	0.00030868	0.00037006	1.0808e-128	1.3244e-129	0.28132	1.5809e-10	31.115	18.652	1.6291	0.035458	2.3062e-07	2.5213e-10	0.0032924	50.684	77.033	0.0013689	393.55	0.068915	5.4043	0.094604	0.13811	3.2821e-320	5.815	3.1623e-05	8.8637	0.30024	0.0024895	2.8676	6.4278e-321	1.0072	8.4967e-09	1.1205e-320	252.9	556.74	0.030423
23.1	340.02	10556	0.00030879	0.00037028	3.0042e-129	3.6283e-130	0.28131	1.5808e-10	30.625	18.642	1.6285	0.035623	2.3709e-07	2.5667e-10	0.0032926	50.111	77.026	0.001369	393.6	0.069195	5.4191	0.094455	0.13822	3.2821e-320	5.815	3.1623e-05	8.8041	0.30025	0.0024897	2.8677	6.4377e-321	1.0071	8.5409e-09	1.124e-320	252.87	557.8	0.030473
23.2	339.95	10553	0.0003089	0.00037049	8.3504e-130	9.9401e-131	0.28131	1.5808e-10	30.146	18.632	1.6279	0.035789	2.4363e-07	2.6127e-10	0.0032929	49.549	77.02	0.0013692	393.64	0.069472	5.4338	0.094308	0.13834	3.2821e-320	5.815	3.1623e-05	8.7455	0.30026	0.0024899	2.8678	6.4525e-321	1.0071	8.5847e-09	1.127e-320	252.84	558.84	0.030523
23.3	339.88	10550	0.00030901	0.0003707	2.321e-130	2.7232e-131	0.2813	1.5808e-10	29.678	18.623	1.6274	0.035955	2.5022e-07	2.6592e-10	0.0032932	48.996	77.014	0.0013693	393.69	0.069745	5.4482	0.094163	0.13845	3.2821e-320	5.815	3.1623e-05	8.688	0.30027	0.0024901	2.8679	6.4624e-321	1.007	8.628e-09	1.1299e-320	252.81	559.87	0.030572
