Oxygen	OMA	OMB	NO3	FeOH3	SO4	NH4	Fe2	FeOOH	H2S	HS	FeS	S0	PO4	S8	FeS2	AlOH3	PO4adsa	PO4adsb	Ca2	Ca3PO4	OMS	OH	CO2	CO3	HCO3	NH3	H	H2CO3
0.071258537	1.25E-08	0.022984817	0.154026768	11.30747276	0.638000002	1.52E-08	5.21E-10	0	1.59E-11	1.52E-11	0	1.23E-10	4.54E-07	2.57E-11	0	2.261537916	3.68E-05	0	0.039999999	1.84E-08	2.98E-12	0.073543413	9.960075071	2.19E-05	0.062386848	6.35E-11	0.135974108	0.016932128
0.071884157	9.32E-09	0.022745394	0.154027083	11.30747132	0.638000002	1.51E-08	5.07E-10	0	1.54E-11	1.47E-11	0	1.26E-10	4.50E-07	2.66E-11	0	2.261537909	3.73E-05	0	0.039999999	1.86E-08	3.01E-12	0.073543413	9.960075071	2.19E-05	0.062386847	6.27E-11	0.135974108	0.016932128
0.072485636	6.91E-09	0.02251855	0.154027385	11.30746988	0.638000003	1.49E-08	4.94E-10	0	1.48E-11	1.42E-11	0	1.28E-10	4.47E-07	2.76E-11	0	2.261537902	3.78E-05	0	0.039999999	1.88E-08	3.05E-12	0.073543413	9.960075071	2.19E-05	0.062386847	6.22E-11	0.135974108	0.016932128
0.073062897	5.10E-09	0.022301928	0.154027676	11.30746846	0.638000003	1.48E-08	4.82E-10	0	1.43E-11	1.36E-11	0	1.30E-10	4.44E-07	2.85E-11	0	2.261537895	3.82E-05	0	0.039999999	1.90E-08	3.08E-12	0.073543413	9.960075071	2.19E-05	0.062386847	6.14E-11	0.135974108	0.016932128
0.073615847	3.75E-09	0.022093488	0.154027954	11.30746708	0.638000003	1.47E-08	4.70E-10	0	1.39E-11	1.33E-11	0	1.33E-10	4.41E-07	2.95E-11	0	2.261537889	3.87E-05	0	0.039999999	1.92E-08	3.12E-12	0.073543413	9.960075071	2.19E-05	0.062386847	6.10E-11	0.135974108	0.016932128
0.074144382	2.75E-09	0.021891519	0.154028219	11.30746577	0.638000003	1.45E-08	4.60E-10	0	1.34E-11	1.28E-11	0	1.35E-10	4.38E-07	3.04E-11	0	2.261537882	3.91E-05	0	0.039999999	1.93E-08	3.15E-12	0.073543413	9.960075071	2.19E-05	0.062386847	6.06E-11	0.135974108	0.016932128
0.074648391	2.01E-09	0.021694626	0.154028472	11.30746454	0.638000003	1.44E-08	4.50E-10	0	1.30E-11	1.25E-11	0	1.37E-10	4.36E-07	3.14E-11	0	2.261537875	3.96E-05	0	0.039999999	1.95E-08	3.18E-12	0.073543413	9.960075071	2.19E-05	0.062386847	5.98E-11	0.135974108	0.016932128
0.075127751	1.46E-09	0.021501716	0.154028713	11.30746341	0.638000003	1.43E-08	4.40E-10	0	1.27E-11	1.21E-11	0	1.38E-10	4.33E-07	3.23E-11	0	2.261537869	4.00E-05	0	0.039999999	1.96E-08	3.21E-12	0.073543413	9.960075071	2.19E-05	0.062386847	5.94E-11	0.135974108	0.016932128
0.075582338	1.06E-09	0.021311979	0.15402894	11.30746237	0.638000003	1.41E-08	4.31E-10	0	1.24E-11	1.18E-11	0	1.40E-10	4.31E-07	3.33E-11	0	2.261537862	4.04E-05	0	0.039999999	1.97E-08	3.24E-12	0.073543413	9.960075071	2.19E-05	0.062386847	5.89E-11	0.135974109	0.016932128
0.076012019	7.61E-10	0.021124858	0.154029155	11.30746145	0.638000003	1.40E-08	4.23E-10	0	1.20E-11	1.15E-11	0	1.42E-10	4.29E-07	3.42E-11	0	2.261537856	4.09E-05	0	0.039999999	1.98E-08	3.27E-12	0.073543413	9.960075071	2.19E-05	0.062386847	5.81E-11	0.135974109	0.016932128
